Service Name,Sub-Module Name,Module Name
Building fitness / Building Fitness Certificate,Permit & Approval,Building Permissions
Building Permits Under Govt. Schemes,Permit & Approval,Building Permissions
Land Development,Permit & Approval,Building Permissions
"Intimation Temporary Huts ,sheds and SFR buildings upto 100 m2",Permit & Approval,Building Permissions
Intimation-Demolition of a Construction,Permit & Approval,Building Permissions
Movement permit for ordinary earth,Permit & Approval,Building Permissions
Intimation-Telecommunication Tower,Permit & Approval,Building Permissions
Self-certified permit(SCP),Permit & Approval,Building Permissions
General Permit,Permit & Approval,Building Permissions
Regularisation,Permit & Approval,Building Permissions
Government Schemes,Permit & Approval,Building Permissions
Correction & Resubmit,Permit & Approval,Building Permissions
Revised permit,Post Permit,Building Permissions
Construction level Inspection,Post Permit,Building Permissions
Renewal/Extension of permit,Post Permit,Building Permissions
Completion certificate,Post Permit,Building Permissions
Revoke the Permit,Post Permit,Building Permissions
Occupancy Certificate,Post Permit,Building Permissions
Assign New Licensee,Post Permit,Building Permissions
Change Owners in Permit,Post Permit,Building Permissions
Mobile towers - Complaint,Enforcement,Building Permissions
Septic tank/soak pit condition violations - Complaint,Enforcement,Building Permissions
Unauthorised construction - Complaint,Enforcement,Building Permissions
Building Permit/Regularisation- legacy files,Permit & Approval,Building Permissions
Plot Sub division including land developments,Permit & Approval,Building Permissions
Licensee withdrawal in Permit,Post Permit,Building Permissions
Import Your Permit to K Smart,Post Permit,Building Permissions
Intimations by licensee on Violation from permitted plans,Post Permit,Building Permissions
Regularisation of Unauthorised Construction,Permit & Approval,Building Permissions
Completion certificate residential under 150sqm,Post Permit,Building Permissions
Occupancy Partial Completion,Post Permit,Building Permissions
Remove the existing licensee by Owners,Post Permit,Building Permissions
Refund fee in Building Permit,Post Permit,Building Permissions
Telecommunication Tower Occupancy Completion,Post Permit,Building Permissions
Intimation of construction- Category II Panchayats,Permit & Approval,Building Permissions
Intimation of construction for Livestock building,Permit & Approval,Building Permissions
Intimation of construction for Mechanical Parking Structures,Permit & Approval,Building Permissions
Intimation of Contruction of Electric Vehicle battery charging stations,Permit & Approval,Building Permissions
Intimation for construction of Govt Building,Permit & Approval,Building Permissions
Intimation of Completion of building construction in Category II Panchayats,Post Permit,Building Permissions
Intimation of Completion of construction of Livestock building,Post Permit,Building Permissions
Intimation of Completion of construction for Mechanical Parking Structures,Post Permit,Building Permissions
Intimation of Completion of construction of Electric Vehicle battery charging stations,Post Permit,Building Permissions
Intimation of Completion of construction of Govt Building,Post Permit,Building Permissions
Reports,Permit & Approval,Building Permissions
Tax Appeal,Assessment services,Property Tax
New Tax Assessment (Form 2),Assessment services,Property Tax
Tax Re-assessment,Assessment services,Property Tax
Pay Building Tax,Tax Payments,Property Tax
Manage Buildings,Buiding Services,Property Tax
Link My Buildings,Buiding Services,Property Tax
Report Data Missing Building,Buiding Services,Property Tax
Tax Exemption,Buiding Services,Property Tax
Tax Exemption Revoke,Buiding Services,Property Tax
Vacancy Remission,Buiding Services,Property Tax
